"WBGeneID"	"baseMean"	"baseMean_gonads"	"basemMean_wholeworm"	"foldChange"	"log2FoldChange"	"pval"	"padj"	"chip_peak"
"1"	"WBGene00000001"	511.560730046759	199.751878074587	823.369582018931	4.12196165540676	2.04333108425324	1.10251823455267e-25	6.46302334346763e-25	FALSE
"2"	"WBGene00000002"	510.192816392793	985.207290536802	35.1783422487838	0.035706538701735	-4.80766790014834	3.73847601078784e-38	3.10293508895391e-37	FALSE
"3"	"WBGene00000003"	55.2979039059002	9.21940496682401	101.376402844976	10.9959811083014	3.45890442822379	3.05648506215378e-10	1.05720581904982e-09	FALSE
"4"	"WBGene00000004"	62.1201668060274	1.07282300694802	123.167510605107	114.80692510081	6.84306585711297	2.10461703972215e-25	1.22425923300554e-24	FALSE
"5"	"WBGene00000005"	216.82915000074	359.960735790479	73.6975642110014	0.204737786328724	-2.28815070469898	7.67909494265723e-10	2.61081884319129e-09	FALSE
"6"	"WBGene00000006"	45.1999306877745	42.7040176215403	47.6958437540087	1.11689359480665	0.159491748438139	0.737094986566638	0.958484098905934	FALSE
"7"	"WBGene00000007"	136.770563026599	196.191821085991	77.3493049672075	0.394253463467803	-1.34280466591882	1.17310600703958e-06	3.36428129015344e-06	FALSE
"8"	"WBGene00000008"	7.68142647623333	1.27143613441445	14.0914168180522	11.0830708964725	3.47028577350121	0.0232028635268347	0.04635140306152	FALSE
"9"	"WBGene00000009"	21.2307944332533	36.3651220258231	6.09646684068342	0.16764598882287	-2.57651012994585	0.000162416251400122	0.000402474565359667	FALSE
"10"	"WBGene00000010"	281.631873319336	162.746673513673	400.517073125	2.46098469773855	1.29923568722909	8.25556532712675e-09	2.66857802686681e-08	FALSE
"11"	"WBGene00000012"	1.0673075684993	0	2.1346151369986	Inf	Inf	0.457890871074069	0.666480393782393	FALSE
"12"	"WBGene00000013"	2.66474331132599	1.6324589308005	3.69702769185149	2.26469874500218	1.17931915270105	0.668990657399074	0.889413304563618	FALSE
"13"	"WBGene00000014"	0	0	0	NA	NA	NA	NA	FALSE
"14"	"WBGene00000015"	0	0	0	NA	NA	NA	NA	FALSE
"15"	"WBGene00000016"	7.14326657316799	2.88818237108843	11.3983507752476	3.94654814368665	1.9805913486762	0.245034636318909	0.395912272937331	FALSE
"16"	"WBGene00000017"	10.3104823513619	0	20.6209647027238	Inf	Inf	1.8902122067539e-05	5.03497959319023e-05	FALSE
"17"	"WBGene00000018"	286.03115415853	297.466436330505	274.595871986556	0.923115479426596	-0.115416958202748	0.827148374596598	1	FALSE
"18"	"WBGene00000019"	4.81265688319037	2.56336303324918	7.06195073313157	2.75495536197237	1.46202894326728	0.676635459099611	0.898040752741029	FALSE
